time[s],positionX_E[m],positionY_E[m], positionZ_E[m], velocityX_E[m/s], velocityY_E[m/s], velocityZ_E[m/s], apparentVelocity[m/s], accelerationX_E[m/s^2], accelerationY_E[m/s^2], accelerationZ_E[m/s^2], mach[dimless]
0,0,0,1.4015,0,0,0,0,0,0,0,0
0.001,4.4044e-08,0,1.4015,0.00013213,0,0.00049313,0.58495,0.26427,0,-8.8337,0.0017184
0.002,3.5236e-07,0,1.4015,0.00052854,0,-0.0078475,0.5854,0.52855,0,-7.8473,0.0017197
0.003,1.1892e-06,0,1.4015,0.0011892,0,-0.015202,0.5862,0.79285,0,-6.861,0.0017221
0.004,2.819e-06,0,1.4015,0.0021143,0,-0.02157,0.58733,1.0572,0,-5.8745,0.0017254
0.005,5.5058e-06,0,1.4014,0.0033036,0,-0.026951,0.58873,1.3215,0,-4.888,0.0017295
0.006,9.5142e-06,0,1.4014,0.0047572,0,-0.031346,0.5904,1.5858,0,-3.9015,0.0017344
0.007,1.5108e-05,0,1.4014,0.0064753,0,-0.034754,0.5923,1.8502,0,-2.9149,0.00174
0.008,2.2553e-05,0,1.4013,0.0084577,0,-0.037176,0.59442,2.1146,0,-1.9282,0.0017462
0.009,3.2112e-05,0,1.4013,0.010704,0,-0.038611,0.59675,2.379,0,-0.94152,0.0017531
0.01,4.405e-05,0,1.4013,0.013216,0,-0.039059,0.59928,2.6434,0,0.045253,0.0017605
0.011,5.8631e-05,0,1.4012,0.015991,0,-0.038521,0.60202,2.9078,0,1.0321,0.0017685
0.012,7.612e-05,0,1.4012,0.019031,0,-0.036995,0.60495,3.1722,0,2.019,0.0017771
0.013,9.6782e-05,0,1.4012,0.022336,0,-0.034483,0.6081,3.4367,0,3.0059,0.0017864
0.014,0.00012088,0,1.4011,0.025904,0,-0.030984,0.61147,3.7011,0,3.9929,0.0017963
0.015,0.00014868,0,1.4011,0.029738,0,-0.026498,0.61508,3.9656,0,4.9799,0.0018069
0.016,0.00018044,0,1.4011,0.033836,0,-0.021024,0.61896,4.2301,0,5.967,0.0018183
0.017,0.00021644,0,1.4011,0.038198,0,-0.014564,0.62314,4.4946,0,6.9542,0.0018306
0.018,0.00025693,0,1.401,0.042825,0,-0.0071161,0.62763,4.7591,0,7.9414,0.0018438
0.019,0.00030218,0,1.401,0.047716,0,0.0013188,0.63248,5.0237,0,8.9287,0.001858
0.02,0.00035245,0,1.401,0.052872,0,0.010741,0.63773,5.2882,0,9.916,0.0018734
0.021,0.00040801,0,1.4011,0.058293,0,0.021151,0.64341,5.5528,0,10.903,0.0018901
0.022,0.00046912,0,1.4011,0.063978,0,0.032548,0.64956,5.8174,0,11.891,0.0019082
0.023,0.00053605,0,1.4011,0.069928,0,0.044932,0.65624,6.082,0,12.878,0.0019278
0.024,0.00060907,0,1.4012,0.076142,0,0.058304,0.66348,6.3466,0,13.866,0.0019491
0.025,0.00068843,0,1.4012,0.082621,0,0.072664,0.67134,6.6112,0,14.854,0.0019722
0.026,0.0007744,0,1.4013,0.089364,0,0.088011,0.67987,6.8759,0,15.841,0.0019972
0.027,0.00086724,0,1.4014,0.096373,0,0.10435,0.68911,7.1405,0,16.829,0.0020244
0.028,0.00096723,0,1.4015,0.10365,0,0.12167,0.69912,7.4052,0,17.817,0.0020538
0.029,0.0010746,0,1.4017,0.11118,0,0.13998,0.70994,7.6699,0,18.805,0.0020856
0.03,0.0011897,0,1.4018,0.11899,0,0.15928,0.72162,7.9346,0,19.792,0.0021199
0.031,0.0013127,0,1.402,0.12705,0,0.17956,0.7342,8.1993,0,20.78,0.0021568
0.032,0.0014439,0,1.4022,0.13538,0,0.20084,0.74773,8.4641,0,21.768,0.0021966
0.033,0.0015835,0,1.4024,0.14398,0,0.2231,0.76225,8.7288,0,22.756,0.0022392
0.034,0.0017319,0,1.4026,0.15284,0,0.24635,0.7778,8.9936,0,23.745,0.0022849
0.035,0.0018893,0,1.4029,0.16197,0,0.27059,0.79442,9.2584,0,24.733,0.0023337
0.036,0.0020559,0,1.4032,0.17136,0,0.29582,0.81212,9.5231,0,25.721,0.0023857
0.037,0.0022321,0,1.4035,0.18101,0,0.32203,0.83096,9.788,0,26.709,0.0024411
0.038,0.0024181,0,1.4038,0.19093,0,0.34923,0.85094,10.053,0,27.698,0.0024998
0.039,0.0026141,0,1.4042,0.20112,0,0.37743,0.8721,10.318,0,28.686,0.0025619
0.04,0.0028204,0,1.4046,0.21157,0,0.40661,0.89445,10.582,0,29.674,0.0026276
0.041,0.0030373,0,1.405,0.22228,0,0.43677,0.91801,10.847,0,30.663,0.0026968
0.042,0.003265,0,1.4054,0.23326,0,0.46793,0.9428,11.112,0,31.651,0.0027696
0.043,0.0035039,0,1.4059,0.24451,0,0.50008,0.96881,11.377,0,32.64,0.002846
0.044,0.0037542,0,1.4064,0.25602,0,0.53321,0.99607,11.642,0,33.629,0.0029261
0.045,0.004016,0,1.407,0.26779,0,0.56733,1.0246,11.907,0,34.617,0.0030099
0.046,0.0042898,0,1.4076,0.27983,0,0.60245,1.0543,12.172,0,35.606,0.0030973
0.047,0.0045758,0,1.4082,0.29214,0,0.63855,1.0854,12.437,0,36.595,0.0031884
0.048,0.0048742,0,1.4088,0.30471,0,0.67564,1.1176,12.702,0,37.584,0.0032832
0.049,0.0051853,0,1.4095,0.31754,0,0.71371,1.1511,12.967,0,38.573,0.0033817
0.05,0.0055094,0,1.4103,0.33064,0,0.75278,1.1859,13.232,0,39.562,0.0034838
0.051,0.0058467,0,1.411,0.344,0,0.79284,1.2219,13.497,0,40.551,0.0035896
0.052,0.0061975,0,1.4119,0.35763,0,0.83388,1.2592,13.762,0,41.54,0.0036991
0.053,0.006562,0,1.4127,0.37153,0,0.87592,1.2977,14.027,0,42.529,0.0038122
0.054,0.0069406,0,1.4136,0.38569,0,0.91894,1.3375,14.292,0,43.518,0.003929
0.055,0.0073335,0,1.4146,0.40011,0,0.96295,1.3784,14.557,0,44.508,0.0040493
0.056,0.0077409,0,1.4155,0.4148,0,1.008,1.4206,14.822,0,45.497,0.0041733
0.057,0.0081632,0,1.4166,0.42976,0,1.0539,1.464,15.087,0,46.486,0.0043008
0.058,0.0086005,0,1.4176,0.44498,0,1.1009,1.5087,15.352,0,47.476,0.0044319
0.059,0.0090532,0,1.4188,0.46046,0,1.1489,1.5545,15.617,0,48.465,0.0045665
0.06,0.0095215,0,1.4199,0.47621,0,1.1979,1.6015,15.883,0,49.455,0.0047046
0.061,0.010006,0,1.4212,0.49223,0,1.2478,1.6497,16.148,0,50.444,0.0048463
0.062,0.010506,0,1.4224,0.50851,0,1.2987,1.6991,16.413,0,51.434,0.0049914
0.063,0.011023,0,1.4238,0.52505,0,1.3507,1.7497,16.678,0,52.424,0.00514
0.064,0.011556,0,1.4251,0.54186,0,1.4036,1.8014,16.943,0,53.414,0.005292
0.065,0.012107,0,1.4266,0.55894,0,1.4575,1.8544,17.209,0,54.403,0.0054474
0.066,0.012674,0,1.4281,0.57628,0,1.5124,1.9084,17.474,0,55.393,0.0056063
0.067,0.013259,0,1.4296,0.59389,0,1.5683,1.9637,17.739,0,56.383,0.0057685
0.068,0.013862,0,1.4312,0.61176,0,1.6252,2.02,18.004,0,57.373,0.0059342
0.069,0.014483,0,1.4328,0.62989,0,1.683,2.0776,18.27,0,58.363,0.0061032
0.07,0.015122,0,1.4346,0.6483,0,1.7419,2.1362,18.535,0,59.353,0.0062755
0.071,0.01578,0,1.4363,0.66696,0,1.8017,2.196,18.8,0,60.343,0.0064512
0.072,0.016456,0,1.4382,0.6859,0,1.8626,2.257,19.066,0,61.334,0.0066302
0.073,0.017151,0,1.4401,0.7051,0,1.9244,2.319,19.331,0,62.324,0.0068125
0.074,0.017866,0,1.442,0.72456,0,1.9872,2.3822,19.596,0,63.314,0.0069981
0.075,0.018601,0,1.444,0.74429,0,2.051,2.4465,19.862,0,64.305,0.007187
0.076,0.019355,0,1.4461,0.76428,0,2.1158,2.5119,20.127,0,65.295,0.0073792
0.077,0.020129,0,1.4483,0.78454,0,2.1816,2.5785,20.392,0,66.285,0.0075746
0.078,0.020924,0,1.4505,0.80507,0,2.2484,2.6461,20.658,0,67.276,0.0077733
0.079,0.02174,0,1.4528,0.82586,0,2.3162,2.7148,20.923,0,68.267,0.0079752
0.08,0.022576,0,1.4551,0.84691,0,2.3849,2.7847,21.189,0,69.257,0.0081803
0.081,0.023433,0,1.4575,0.86824,0,2.4547,2.8556,21.454,0,70.248,0.0083887
0.082,0.024312,0,1.46,0.88982,0,2.5254,2.9276,21.72,0,71.239,0.0086003
0.083,0.025213,0,1.4626,0.91167,0,2.5972,3.0007,21.985,0,72.229,0.0088151
0.084,0.026136,0,1.4652,0.93379,0,2.6699,3.075,22.251,0,73.22,0.0090331
0.085,0.027081,0,1.4679,0.95618,0,2.7436,3.1503,22.516,0,74.211,0.0092543
0.086,0.028048,0,1.4707,0.97882,0,2.8183,3.2266,22.782,0,75.202,0.0094787
0.087,0.029039,0,1.4736,1.0017,0,2.894,3.3041,23.047,0,76.193,0.0097063
0.088,0.030052,0,1.4765,1.0249,0,2.9707,3.3827,23.313,0,77.184,0.009937
0.089,0.031089,0,1.4795,1.0484,0,3.0484,3.4623,23.578,0,78.175,0.010171
0.09,0.032149,0,1.4826,1.0721,0,3.1271,3.543,23.844,0,79.166,0.010408
0.091,0.033233,0,1.4858,1.0961,0,3.2067,3.6248,24.109,0,80.157,0.010648
0.092,0.034341,0,1.489,1.1203,0,3.2874,3.7076,24.375,0,81.149,0.010892
0.093,0.035473,0,1.4923,1.1448,0,3.369,3.7915,24.641,0,82.14,0.011138
0.094,0.036631,0,1.4957,1.1696,0,3.4516,3.8765,24.906,0,83.131,0.011388
0.095,0.037813,0,1.4992,1.1946,0,3.5353,3.9626,25.172,0,84.123,0.011641
0.096,0.03902,0,1.5028,1.2199,0,3.6199,4.0497,25.437,0,85.114,0.011897
0.097,0.040253,0,1.5065,1.2455,0,3.7055,4.1379,25.703,0,86.105,0.012156
0.098,0.041511,0,1.5102,1.2713,0,3.7921,4.2271,25.969,0,87.097,0.012418
0.099,0.042795,0,1.5141,1.2974,0,3.8797,4.3175,26.235,0,88.089,0.012683
0.1,0.044106,0,1.518,1.3238,0,3.9683,4.4088,26.5,0,89.08,0.012952
0.101,0.045443,0,1.522,1.3504,0,4.0579,4.5013,26.766,0,90.072,0.013223
0.102,0.046807,0,1.5261,1.3773,0,4.1484,4.5948,27.032,0,91.064,0.013498
0.103,0.048198,0,1.5303,1.4045,0,4.24,4.6893,27.297,0,92.055,0.013776
0.104,0.049616,0,1.5346,1.4319,0,4.3325,4.7849,27.563,0,93.047,0.014056
0.105,0.051062,0,1.539,1.4596,0,4.4261,4.8816,27.829,0,94.039,0.01434
0.106,0.052535,0,1.5434,1.4876,0,4.5206,4.9793,28.095,0,95.031,0.014628
0.107,0.054037,0,1.548,1.5158,0,4.6161,5.0781,28.361,0,96.023,0.014918
0.108,0.055567,0,1.5527,1.5443,0,4.7127,5.1779,28.626,0,97.015,0.015211
0.109,0.057126,0,1.5574,1.5731,0,4.8102,5.2788,28.892,0,98.007,0.015507
0.11,0.058713,0,1.5623,1.6021,0,4.9087,5.3808,29.158,0,98.999,0.015807
0.111,0.06033,0,1.5672,1.6314,0,5.0082,5.4838,29.424,0,99.992,0.016109
0.112,0.061976,0,1.5723,1.6609,0,5.1087,5.5878,29.69,0,100.98,0.016415
0.113,0.063652,0,1.5775,1.6908,0,5.2101,5.6929,29.956,0,101.98,0.016724
0.114,0.065358,0,1.5827,1.7208,0,5.3126,5.799,30.222,0,102.97,0.017036
0.115,0.067094,0,1.5881,1.7512,0,5.4161,5.9062,30.487,0,103.96,0.01735
0.116,0.06886,0,1.5936,1.7818,0,5.5205,6.0145,30.753,0,104.95,0.017668
0.117,0.070657,0,1.5991,1.8127,0,5.626,6.1237,31.019,0,105.95,0.017989
0.118,0.072486,0,1.6048,1.8439,0,5.7324,6.2341,31.285,0,106.94,0.018314
0.119,0.074345,0,1.6106,1.8753,0,5.8399,6.3455,31.551,0,107.93,0.018641
0.12,0.076236,0,1.6165,1.907,0,5.9483,6.4579,31.817,0,108.92,0.018971
0.121,0.078159,0,1.6225,1.9388,0,6.0572,6.5708,31.803,0,108.87,0.019303
0.122,0.080114,0,1.6286,1.9706,0,6.166,6.6837,31.788,0,108.82,0.019634
0.123,0.0821,0,1.6348,2.0023,0,6.2748,6.7966,31.774,0,108.76,0.019966
0.124,0.084118,0,1.6412,2.0341,0,6.3835,6.9095,31.76,0,108.71,0.020298
0.125,0.086168,0,1.6476,2.0659,0,6.4922,7.0223,31.745,0,108.65,0.020629
0.126,0.08825,0,1.6541,2.0976,0,6.6009,7.1351,31.731,0,108.6,0.02096
0.127,0.090364,0,1.6608,2.1293,0,6.7094,7.2478,31.717,0,108.55,0.021292
0.128,0.092509,0,1.6676,2.161,0,6.818,7.3605,31.702,0,108.49,0.021623
0.129,0.094686,0,1.6744,2.1927,0,6.9264,7.4732,31.688,0,108.44,0.021954
0.13,0.096894,0,1.6814,2.2244,0,7.0348,7.5858,31.673,0,108.39,0.022285
0.131,0.099135,0,1.6885,2.2561,0,7.1432,7.6984,31.659,0,108.33,0.022615
0.132,0.10141,0,1.6957,2.2877,0,7.2515,7.811,31.645,0,108.28,0.022946
0.133,0.10371,0,1.703,2.3194,0,7.3597,7.9235,31.63,0,108.23,0.023277
0.134,0.10605,0,1.7104,2.351,0,7.4679,8.036,31.616,0,108.17,0.023607
0.135,0.10841,0,1.7179,2.3826,0,7.5761,8.1485,31.601,0,108.12,0.023937
0.136,0.11081,0,1.7256,2.4142,0,7.6842,8.2609,31.587,0,108.06,0.024268
0.137,0.11324,0,1.7333,2.4458,0,7.7922,8.3733,31.573,0,108.01,0.024598
0.138,0.1157,0,1.7411,2.4773,0,7.9002,8.4856,31.558,0,107.96,0.024928
0.139,0.1182,0,1.7491,2.5089,0,8.0081,8.5979,31.544,0,107.9,0.025258
0.14,0.12072,0,1.7572,2.5404,0,8.116,8.7101,31.529,0,107.85,0.025587
0.141,0.12328,0,1.7653,2.5719,0,8.2238,8.8223,31.515,0,107.79,0.025917
0.142,0.12586,0,1.7736,2.6035,0,8.3316,8.9345,31.5,0,107.74,0.026246
0.143,0.12848,0,1.782,2.635,0,8.4393,9.0466,31.486,0,107.69,0.026576
0.144,0.13113,0,1.7905,2.6664,0,8.547,9.1586,31.472,0,107.63,0.026905
0.145,0.13382,0,1.7991,2.6979,0,8.6546,9.2707,31.457,0,107.58,0.027234
0.146,0.13653,0,1.8078,2.7293,0,8.7621,9.3826,31.443,0,107.53,0.027563
0.147,0.13927,0,1.8166,2.7608,0,8.8696,9.4946,31.428,0,107.47,0.027892
0.148,0.14205,0,1.8255,2.7922,0,8.9771,9.6064,31.414,0,107.42,0.02822
0.149,0.14486,0,1.8346,2.8236,0,9.0845,9.7183,31.399,0,107.36,0.028549
0.15,0.1477,0,1.8437,2.855,0,9.1918,9.8301,31.385,0,107.31,0.028877
0.151,0.15057,0,1.853,2.8864,0,9.2991,9.9418,31.37,0,107.26,0.029206
0.152,0.15347,0,1.8623,2.9177,0,9.4063,10.054,31.356,0,107.2,0.029534
0.153,0.1564,0,1.8718,2.9491,0,9.5135,10.165,31.341,0,107.15,0.029862
0.154,0.15937,0,1.8813,2.9804,0,9.6206,10.277,31.327,0,107.09,0.03019
0.155,0.16237,0,1.891,3.0117,0,9.7277,10.388,31.313,0,107.04,0.030517
0.156,0.16539,0,1.9008,3.043,0,9.8347,10.5,31.298,0,106.99,0.030845
0.157,0.16845,0,1.9107,3.0743,0,9.9416,10.611,31.284,0,106.93,0.031172
0.158,0.17154,0,1.9207,3.1056,0,10.049,10.723,31.269,0,106.88,0.0315
0.159,0.17466,0,1.9308,3.1369,0,10.155,10.834,31.255,0,106.82,0.031827
0.16,0.17781,0,1.941,3.1681,0,10.262,10.945,31.24,0,106.77,0.032154
0.161,0.181,0,1.9513,3.1994,0,10.369,11.057,31.226,0,106.72,0.032481
0.162,0.18421,0,1.9617,3.2306,0,10.476,11.168,31.211,0,106.66,0.032807
0.163,0.18746,0,1.9723,3.2618,0,10.582,11.279,31.197,0,106.61,0.033134
0.164,0.19074,0,1.9829,3.293,0,10.689,11.39,31.182,0,106.55,0.03346
0.165,0.19405,0,1.9936,3.3241,0,10.795,11.501,31.168,0,106.5,0.033787
0.166,0.19739,0,2.0045,3.3553,0,10.902,11.612,31.153,0,106.45,0.034113
0.167,0.20076,0,2.0154,3.3865,0,11.008,11.723,31.139,0,106.39,0.034439
0.168,0.20416,0,2.0265,3.4176,0,11.115,11.834,31.124,0,106.34,0.034765
0.169,0.20759,0,2.0377,3.4487,0,11.221,11.945,31.11,0,106.28,0.03509
0.17,0.21106,0,2.0489,3.4798,0,11.327,12.056,31.095,0,106.23,0.035416
0.171,0.21455,0,2.0603,3.5109,0,11.433,12.167,31.081,0,106.17,0.035741
0.172,0.21808,0,2.0718,3.542,0,11.54,12.277,31.066,0,106.12,0.036066
0.173,0.22163,0,2.0834,3.573,0,11.646,12.388,31.052,0,106.07,0.036392
0.174,0.22522,0,2.0951,3.6041,0,11.752,12.499,31.037,0,106.01,0.036716
0.175,0.22884,0,2.1069,3.6351,0,11.858,12.609,31.023,0,105.96,0.037041
0.176,0.23249,0,2.1188,3.6661,0,11.964,12.72,31.008,0,105.9,0.037366
0.177,0.23618,0,2.1308,3.6971,0,12.069,12.83,30.994,0,105.85,0.03769
0.178,0.23989,0,2.1429,3.7281,0,12.175,12.94,30.979,0,105.79,0.038015
0.179,0.24363,0,2.1552,3.7591,0,12.281,13.051,30.964,0,105.74,0.038339
0.18,0.24741,0,2.1675,3.79,0,12.387,13.161,30.95,0,105.69,0.038663
0.181,0.25121,0,2.1799,3.821,0,12.492,13.271,30.935,0,105.63,0.038987
0.182,0.25505,0,2.1925,3.8519,0,12.598,13.382,30.921,0,105.58,0.039311
0.183,0.25892,0,2.2051,3.8828,0,12.704,13.492,30.906,0,105.52,0.039634
0.184,0.26281,0,2.2179,3.9137,0,12.809,13.602,30.892,0,105.47,0.039958
0.185,0.26674,0,2.2308,3.9446,0,12.915,13.712,30.877,0,105.41,0.040281
0.186,0.2707,0,2.2437,3.9755,0,13.02,13.822,30.863,0,105.36,0.040604
0.187,0.27469,0,2.2568,4.0063,0,13.125,13.932,30.848,0,105.31,0.040927
0.188,0.27872,0,2.27,4.0372,0,13.231,14.042,30.833,0,105.25,0.04125
0.189,0.28277,0,2.2833,4.068,0,13.336,14.151,30.819,0,105.2,0.041572
0.19,0.28685,0,2.2967,4.0988,0,13.441,14.261,30.804,0,105.14,0.041895
0.191,0.29097,0,2.3101,4.1296,0,13.546,14.371,30.79,0,105.09,0.042217
0.192,0.29511,0,2.3237,4.1604,0,13.651,14.481,30.775,0,105.03,0.042539
0.193,0.29929,0,2.3374,4.1911,0,13.756,14.59,30.761,0,104.98,0.042861
0.194,0.30349,0,2.3513,4.2219,0,13.861,14.7,30.746,0,104.93,0.043183
0.195,0.30773,0,2.3652,4.2526,0,13.966,14.809,30.732,0,104.87,0.043505
0.196,0.312,0,2.3792,4.2834,0,14.071,14.919,30.717,0,104.82,0.043826
0.197,0.3163,0,2.3933,4.3141,0,14.176,15.028,30.702,0,104.76,0.044148
0.198,0.32063,0,2.4075,4.3448,0,14.28,15.137,30.688,0,104.71,0.044469
0.199,0.32499,0,2.4219,4.3755,0,14.385,15.247,30.673,0,104.65,0.04479
0.2,0.32938,0,2.4363,4.4061,0,14.49,15.356,30.659,0,104.6,0.045111
0.201,0.3338,0,2.4509,4.4368,0,14.594,15.465,30.644,0,104.54,0.045432
0.202,0.33825,0,2.4655,4.4674,0,14.699,15.574,30.629,0,104.49,0.045752
0.203,0.34273,0,2.4802,4.498,0,14.803,15.683,30.615,0,104.44,0.046073
0.204,0.34725,0,2.4951,4.5286,0,14.908,15.792,30.6,0,104.38,0.046393
0.205,0.35179,0,2.5101,4.5592,0,15.012,15.901,30.586,0,104.33,0.046713
0.206,0.35637,0,2.5251,4.5898,0,15.116,16.01,30.571,0,104.27,0.047033
0.207,0.36097,0,2.5403,4.6204,0,15.22,16.119,30.556,0,104.22,0.047353
0.208,0.36561,0,2.5556,4.6509,0,15.325,16.228,30.542,0,104.16,0.047673
0.209,0.37027,0,2.5709,4.6815,0,15.429,16.337,30.527,0,104.11,0.047992
0.21,0.37497,0,2.5864,4.712,0,15.533,16.445,30.513,0,104.05,0.048312
0.211,0.3797,0,2.602,4.7425,0,15.637,16.554,30.521,0,104.09,0.048631
0.212,0.38445,0,2.6177,4.773,0,15.741,16.663,30.53,0,104.12,0.04895
0.213,0.38924,0,2.6335,4.8036,0,15.845,16.772,30.539,0,104.15,0.04927
0.214,0.39406,0,2.6494,4.8341,0,15.949,16.88,30.548,0,104.19,0.04959
0.215,0.39891,0,2.6654,4.8646,0,16.054,16.989,30.557,0,104.22,0.049909
0.216,0.40379,0,2.6815,4.8952,0,16.158,17.098,30.566,0,104.25,0.050229
0.217,0.4087,0,2.6977,4.9258,0,16.262,17.207,30.575,0,104.29,0.050549
0.218,0.41364,0,2.714,4.9564,0,16.366,17.316,30.584,0,104.32,0.050869
0.219,0.41861,0,2.7304,4.9869,0,16.471,17.425,30.593,0,104.35,0.051189
0.22,0.42362,0,2.747,5.0175,0,16.575,17.534,30.601,0,104.39,0.05151
0.221,0.42865,0,2.7636,5.0481,0,16.679,17.643,30.61,0,104.42,0.05183
0.222,0.43371,0,2.7803,5.0788,0,16.784,17.752,30.619,0,104.45,0.05215
0.223,0.43881,0,2.7972,5.1094,0,16.888,17.861,30.628,0,104.49,0.052471
0.224,0.44393,0,2.8141,5.14,0,16.993,17.97,30.637,0,104.52,0.052792
0.225,0.44909,0,2.8311,5.1707,0,17.097,18.08,30.646,0,104.55,0.053112
0.226,0.45427,0,2.8483,5.2013,0,17.202,18.189,30.655,0,104.59,0.053433
0.227,0.45949,0,2.8655,5.232,0,17.307,18.298,30.664,0,104.62,0.053754
0.228,0.46474,0,2.8829,5.2626,0,17.411,18.407,30.673,0,104.65,0.054076
0.229,0.47001,0,2.9004,5.2933,0,17.516,18.517,30.681,0,104.68,0.054397
0.23,0.47532,0,2.9179,5.324,0,17.621,18.626,30.69,0,104.72,0.054718
0.231,0.48066,0,2.9356,5.3547,0,17.725,18.736,30.699,0,104.75,0.055039
0.232,0.48603,0,2.9534,5.3854,0,17.83,18.845,30.708,0,104.78,0.055361
0.233,0.49143,0,2.9713,5.4161,0,17.935,18.955,30.717,0,104.82,0.055683
0.234,0.49686,0,2.9893,5.4468,0,18.04,19.064,30.726,0,104.85,0.056004
0.235,0.50233,0,3.0074,5.4776,0,18.145,19.174,30.735,0,104.88,0.056326
0.236,0.50782,0,3.0255,5.5083,0,18.25,19.283,30.744,0,104.92,0.056648
0.237,0.51334,0,3.0439,5.5391,0,18.354,19.393,30.753,0,104.95,0.05697
0.238,0.5189,0,3.0623,5.5698,0,18.459,19.502,30.761,0,104.98,0.057292
0.239,0.52448,0,3.0808,5.6006,0,18.564,19.612,30.77,0,105.02,0.057615
0.24,0.5301,0,3.0994,5.6314,0,18.669,19.722,30.779,0,105.05,0.057937
0.241,0.53575,0,3.1181,5.6621,0,18.775,19.832,30.788,0,105.08,0.05826
0.242,0.54142,0,3.1369,5.6929,0,18.88,19.941,30.797,0,105.12,0.058582
0.243,0.54713,0,3.1559,5.7237,0,18.985,20.051,30.806,0,105.15,0.058905
0.244,0.55287,0,3.1749,5.7545,0,19.09,20.161,30.815,0,105.18,0.059228
0.245,0.55864,0,3.194,5.7854,0,19.195,20.271,30.824,0,105.22,0.05955
0.246,0.56444,0,3.2133,5.8162,0,19.3,20.381,30.833,0,105.25,0.059873
0.247,0.57027,0,3.2326,5.847,0,19.406,20.491,30.841,0,105.28,0.060197
0.248,0.57614,0,3.2521,5.8779,0,19.511,20.601,30.85,0,105.32,0.06052
0.249,0.58203,0,3.2717,5.9087,0,19.616,20.711,30.859,0,105.35,0.060843
0.25,0.58795,0,3.2913,5.9396,0,19.722,20.821,30.868,0,105.38,0.061166
0.251,0.59391,0,3.3111,5.9705,0,19.827,20.931,30.877,0,105.41,0.06149
0.252,0.59989,0,3.331,6.0013,0,19.932,21.041,30.886,0,105.45,0.061814
0.253,0.60591,0,3.351,6.0322,0,20.038,21.152,30.895,0,105.48,0.062137
0.254,0.61196,0,3.3711,6.0631,0,20.143,21.262,30.904,0,105.51,0.062461
0.255,0.61804,0,3.3913,6.094,0,20.249,21.372,30.913,0,105.55,0.062785
0.256,0.62415,0,3.4116,6.125,0,20.354,21.482,30.921,0,105.58,0.063109
0.257,0.63029,0,3.432,6.1559,0,20.46,21.593,30.93,0,105.61,0.063433
0.258,0.63646,0,3.4525,6.1868,0,20.566,21.703,30.939,0,105.65,0.063757
0.259,0.64266,0,3.4731,6.2178,0,20.671,21.813,30.948,0,105.68,0.064082
0.26,0.64889,0,3.4938,6.2487,0,20.777,21.924,30.957,0,105.71,0.064406
0.261,0.65516,0,3.5147,6.2797,0,20.883,22.034,30.966,0,105.75,0.064731
0.262,0.66145,0,3.5356,6.3107,0,20.989,22.145,30.975,0,105.78,0.065055
0.263,0.66778,0,3.5566,6.3416,0,21.094,22.255,30.984,0,105.81,0.06538
0.264,0.67414,0,3.5778,6.3726,0,21.2,22.366,30.993,0,105.85,0.065705
0.265,0.68052,0,3.599,6.4036,0,21.306,22.477,31.001,0,105.88,0.06603
0.266,0.68694,0,3.6204,6.4346,0,21.412,22.587,31.01,0,105.91,0.066355
0.267,0.69339,0,3.6419,6.4656,0,21.518,22.698,31.019,0,105.95,0.06668
0.268,0.69987,0,3.6634,6.4967,0,21.624,22.809,31.028,0,105.98,0.067006
0.269,0.70639,0,3.6851,6.5277,0,21.73,22.919,31.037,0,106.01,0.067331
0.27,0.71293,0,3.7069,6.5587,0,21.836,23.03,31.046,0,106.04,0.067656
0.271,0.7195,0,3.7288,6.5898,0,21.942,23.141,31.055,0,106.08,0.067982
0.272,0.72611,0,3.7508,6.6208,0,22.048,23.252,31.064,0,106.11,0.068308
0.273,0.73275,0,3.7729,6.6519,0,22.154,23.363,31.073,0,106.14,0.068633
0.274,0.73941,0,3.7951,6.683,0,22.26,23.474,31.081,0,106.18,0.068959
0.275,0.74611,0,3.8174,6.7141,0,22.367,23.585,31.09,0,106.21,0.069285
0.276,0.75284,0,3.8398,6.7452,0,22.473,23.696,31.099,0,106.24,0.069611
0.277,0.7596,0,3.8623,6.7763,0,22.579,23.807,31.108,0,106.28,0.069938
0.278,0.76639,0,3.885,6.8074,0,22.685,23.918,31.117,0,106.31,0.070264
0.279,0.77322,0,3.9077,6.8385,0,22.792,24.029,31.126,0,106.34,0.07059
0.28,0.78007,0,3.9306,6.8696,0,22.898,24.14,31.135,0,106.38,0.070917
0.281,0.78696,0,3.9535,6.9008,0,23.004,24.251,31.144,0,106.41,0.071243
0.282,0.79387,0,3.9766,6.9319,0,23.111,24.362,31.153,0,106.44,0.07157
0.283,0.80082,0,3.9997,6.9631,0,23.217,24.474,31.161,0,106.48,0.071897
0.284,0.8078,0,4.023,6.9943,0,23.324,24.585,31.17,0,106.51,0.072224
0.285,0.81481,0,4.0464,7.0254,0,23.43,24.696,31.179,0,106.54,0.072551
0.286,0.82185,0,4.0699,7.0566,0,23.537,24.808,31.188,0,106.58,0.072878
0.287,0.82892,0,4.0935,7.0878,0,23.643,24.919,31.197,0,106.61,0.073205
0.288,0.83603,0,4.1171,7.119,0,23.75,25.03,31.206,0,106.64,0.073532
0.289,0.84316,0,4.141,7.1502,0,23.857,25.142,31.215,0,106.67,0.07386
0.29,0.85033,0,4.1649,7.1814,0,23.963,25.253,31.224,0,106.71,0.074187
