0,80,NaN,0.0068052,0.62592,0.0075071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.01,80,NaN,0.0068564,0.62519,0.0074984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.02,78.306,NaN,0.0069467,0.62393,0.011735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.03,74.088,NaN,0.0071259,0.62149,0.027996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.04,67.726,NaN,0.0074599,0.61715,0.070305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.05,59.904,NaN,0.0080372,0.61023,0.15361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.06,51.241,NaN,0.0088563,0.60146,0.28171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.07,42.873,NaN,0.01008,0.59017,0.42591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.08,35.468,NaN,0.011738,0.57746,0.55044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.09,29.281,NaN,0.013828,0.56442,0.63534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.1,24.272,NaN,0.016337,0.55181,0.6801,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.11,20.444,NaN,0.01928,0.53989,0.69306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.12,17.385,NaN,0.022601,0.52898,0.68756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.13,15.025,NaN,0.02612,0.51948,0.6695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.14,13.235,NaN,0.029655,0.51146,0.64566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.15,11.834,NaN,0.033196,0.50458,0.62252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16,10.607,NaN,0.036711,0.49978,0.60204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.17,9.5978,NaN,0.040222,0.49917,0.58847,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.18,8.7548,NaN,0.043726,0.49863,0.57679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.19,8.0401,NaN,0.047221,0.49816,0.56682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.2,7.4266,NaN,0.050703,0.49773,0.55832,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.21,6.8288,NaN,0.054155,0.49735,0.55023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.22,6.3031,NaN,0.057608,0.497,0.54329,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.23,5.8358,NaN,0.061077,0.49668,0.53731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.24,5.4178,NaN,0.06456,0.49639,0.53213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.25,5.0418,NaN,0.068058,0.49613,0.52764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.26,4.8498,NaN,0.071618,0.49588,0.5253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.27,4.6752,NaN,0.07519,0.49566,0.52321,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.28,4.5158,NaN,0.078774,0.49545,0.52135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.29,4.3697,NaN,0.082369,0.49527,0.51967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.3,4.2353,NaN,0.085976,0.49509,0.51816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.31,4.1298,NaN,0.089602,0.49494,0.51697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
