time[s],Xcg[m],Xcp[m]
0.246,1.9527,NaN
0.247,1.9527,NaN
0.248,1.9526,NaN
0.249,1.9526,NaN
0.25,1.9526,NaN
0.251,1.9525,NaN
0.252,1.9525,NaN
0.253,1.9525,NaN
0.254,1.9524,NaN
0.255,1.9524,NaN
0.256,1.9524,NaN
0.257,1.9524,NaN
0.258,1.9523,NaN
0.259,1.9523,NaN
0.26,1.9523,NaN
0.261,1.9522,NaN
0.262,1.9522,NaN
0.263,1.9522,NaN
0.264,1.9521,NaN
0.265,1.9521,NaN
0.266,1.9521,NaN
0.267,1.952,NaN
0.268,1.952,NaN
0.269,1.952,NaN
0.27,1.9519,NaN
0.271,1.9519,NaN
0.272,1.9519,NaN
0.273,1.9518,NaN
0.274,1.9518,NaN
0.275,1.9518,NaN
0.276,1.9517,NaN
0.277,1.9517,NaN
0.278,1.9517,NaN
0.279,1.9516,NaN
0.28,1.9516,NaN
0.281,1.9516,NaN
0.282,1.9515,NaN
0.283,1.9515,NaN
0.284,1.9515,NaN
0.285,1.9514,NaN
0.286,1.9514,NaN
0.287,1.9514,NaN
0.288,1.9513,NaN
0.289,1.9513,NaN
0.29,1.9513,NaN
0.291,1.9512,NaN
0.292,1.9512,NaN
0.293,1.9512,NaN
0.294,1.9511,NaN
0.295,1.9511,NaN
0.296,1.9511,NaN
0.297,1.951,NaN
0.298,1.951,NaN
0.299,1.951,NaN
0.3,1.9509,NaN
0.301,1.9509,NaN
0.302,1.9509,NaN
0.303,1.9509,NaN
0.304,1.9508,NaN
0.305,1.9508,NaN
0.306,1.9508,NaN
0.307,1.9507,NaN
0.308,1.9507,NaN
0.309,1.9507,NaN
0.31,1.9506,NaN
0.311,1.9506,NaN
0.312,1.9506,NaN
0.313,1.9505,NaN
0.314,1.9505,NaN
0.315,1.9505,NaN
0.316,1.9504,NaN
0.317,1.9504,NaN
0.318,1.9504,NaN
0.319,1.9503,NaN
0.32,1.9503,NaN
0.321,1.9503,NaN
0.322,1.9502,NaN
0.323,1.9502,NaN
0.324,1.9502,NaN
0.325,1.9501,NaN
0.326,1.9501,NaN
0.327,1.9501,NaN
0.328,1.95,NaN
0.329,1.95,NaN
0.33,1.95,NaN
0.331,1.9499,NaN
0.332,1.9499,NaN
0.333,1.9499,NaN
0.334,1.9498,NaN
0.335,1.9498,NaN
0.336,1.9498,NaN
0.337,1.9497,NaN
0.338,1.9497,NaN
0.339,1.9497,NaN
0.34,1.9496,NaN
0.341,1.9496,NaN
0.342,1.9496,NaN
0.343,1.9495,NaN
0.344,1.9495,NaN
0.345,1.9495,NaN
0.346,1.9494,NaN
0.347,1.9494,NaN
0.348,1.9494,NaN
0.349,1.9493,NaN
0.35,1.9493,NaN
0.351,1.9493,NaN
