1473.9,231.3,0.1
1474.1,231.28,0.1
1474.4,231.26,0.1
1474.6,231.24,0.1
1474.8,231.22,0.1
1475,231.2,0.1
1475.2,231.18,0.1
1475.5,231.16,0.1
1475.7,231.14,0.1
1475.9,231.12,0.1
1476.1,231.1,0.1
1476.3,231.07,0.1
1476.5,231.05,0.1
1476.8,231.03,0.1
1477,231.01,0.1
1477.2,230.99,0.1
1477.4,230.97,0.1
1477.6,230.95,0.1
1477.8,230.93,0.1
1478.1,230.91,0.1
1478.3,230.89,0.1
1478.5,230.87,0.1
1478.7,230.84,0.1
1478.9,230.82,0.1
1479.1,230.8,0.1
1479.4,230.78,0.1
1479.6,230.76,0.1
1479.8,230.74,0.1
1480,230.72,0.1
1480.2,230.7,0.1
1480.4,230.68,0.1
1480.7,230.66,0.1
1480.9,230.64,0.1
1481.1,230.62,0.1
1481.3,230.59,0.1
1481.5,230.57,0.1
1481.7,230.55,0.1
1482,230.53,0.1
1482.2,230.51,0.1
1482.4,230.49,0.1
1482.6,230.47,0.1
1482.8,230.45,0.1
1483,230.43,0.1
1483.2,230.41,0.1
1483.5,230.39,0.1
1483.7,230.37,0.1
1483.9,230.35,0.1
1484.1,230.32,0.1
1484.3,230.3,0.1
1484.5,230.28,0.1
1484.8,230.26,0.1
1485,230.24,0.1
1485.2,230.22,0.1
1485.4,230.2,0.1
1485.6,230.18,0.1
1485.8,230.16,0.1
1486.1,230.14,0.1
1486.3,230.12,0.1
1486.5,230.1,0.1
1486.7,230.08,0.1
1486.9,230.05,0.1
1487.1,230.03,0.1
1487.4,230.01,0.1
1487.6,229.99,0.1
1487.8,229.97,0.1
1488,229.95,0.1
1488.2,229.93,0.1
1488.4,229.91,0.1
1488.6,229.89,0.1
1488.9,229.87,0.1
1489.1,229.85,0.1
1489.3,229.83,0.1
1489.5,229.81,0.1
1489.7,229.78,0.1
1489.9,229.76,0.1
1490.2,229.74,0.1
1490.4,229.72,0.1
1490.6,229.7,0.1
1490.8,229.68,0.1
1491,229.66,0.1
1491.2,229.64,0.1
1491.4,229.62,0.1
1491.7,229.6,0.1
1491.9,229.58,0.1
1492.1,229.56,0.1
1492.3,229.54,0.1
1492.5,229.52,0.1
1492.7,229.49,0.1
1493,229.47,0.1
1493.2,229.45,0.1
1493.4,229.43,0.1
1493.6,229.41,0.1
1493.8,229.39,0.1
1494,229.37,0.1
1494.2,229.35,0.1
1494.5,229.33,0.1
1494.7,229.31,0.1
1494.9,229.29,0.1
1495.1,229.27,0.1
1495.3,229.25,0.1
1495.5,229.23,0.1
1495.8,229.21,0.1
1496,229.18,0.1
1496.2,229.16,0.1
1496.4,229.14,0.1
1496.6,229.12,0.1
1496.8,229.1,0.1
1497,229.08,0.1
