Run ID,At [m^2],Dfg_Outer [m],Dfg_Inner [m],Lfg [m],ISP [s^-1],Delta-V [m/s],Apogee [m],O/F Ratio Max
633,0.001,0.151,0.075,0.5,251.62,319.82,6047.7,3.583
641,0.001,0.151,0.08,0.5,251.74,305.94,5536.9,3.6086
642,0.001,0.151,0.08,0.6,243.1,308.42,5620.7,3.0071
649,0.001,0.153,0.04,0.5,250.61,399.51,9409.4,3.3437
657,0.001,0.153,0.045,0.5,250.78,393.02,9108.8,3.3873
665,0.001,0.153,0.05,0.5,250.94,385.46,8764,3.4268
673,0.001,0.153,0.055,0.5,251.09,376.89,8381.3,3.4629
681,0.001,0.153,0.06,0.5,251.24,367.26,7961.3,3.4962
689,0.001,0.153,0.065,0.5,251.38,356.58,7507.9,3.5271
697,0.001,0.153,0.07,0.5,251.52,344.8,7023,3.556
705,0.001,0.153,0.075,0.5,251.64,331.93,6511.7,3.583
713,0.001,0.153,0.08,0.5,251.76,318.06,5981.7,3.6086
714,0.001,0.153,0.08,0.6,243.14,320.58,6070.5,3.0071
721,0.001,0.155,0.04,0.5,250.64,411.93,9999.8,3.3437
729,0.001,0.155,0.045,0.5,250.81,405.42,9688.7,3.3873
737,0.001,0.155,0.05,0.5,250.97,397.89,9334.8,3.4268
745,0.001,0.155,0.055,0.5,251.12,389.29,8938.2,3.4629
753,0.001,0.155,0.06,0.5,251.27,379.68,8505.6,3.4962
761,0.001,0.155,0.065,0.5,251.41,368.96,8035,3.5271
769,0.001,0.155,0.07,0.5,251.54,357.13,7531.3,3.556
777,0.001,0.155,0.075,0.5,251.66,344.27,7002.1,3.583
785,0.001,0.155,0.08,0.5,251.78,330.34,6450.2,3.6086
786,0.001,0.155,0.08,0.6,243.18,332.92,6544,3.0071
793,0.0015,0.135,0.04,0.5,242.96,302.49,5359.4,3.3437
801,0.0015,0.135,0.045,0.5,243.1,295.81,5126.7,3.3873
809,0.0015,0.135,0.05,0.5,243.23,288.14,4865.8,3.4268
817,0.0015,0.135,0.055,0.5,243.36,279.42,4577.5,3.4629
825,0.0015,0.135,0.06,0.5,243.47,269.61,4263.1,3.4962
833,0.0015,0.135,0.065,0.5,243.57,258.77,3928.9,3.5271
841,0.0015,0.135,0.07,0.5,243.67,246.86,3577.2,3.556
849,0.0015,0.135,0.075,0.5,243.75,233.89,3212.7,3.583
857,0.0015,0.135,0.08,0.5,243.83,219.94,2842.5,3.6086
858,0.0015,0.135,0.08,0.6,237.16,223.37,2926,3.0071
865,0.0015,0.137,0.04,0.5,242.99,313.16,5742.6,3.3437
873,0.0015,0.137,0.045,0.5,243.13,306.53,5503.3,3.3873
881,0.0015,0.137,0.05,0.5,243.26,298.83,5231.9,3.4268
889,0.0015,0.137,0.055,0.5,243.38,290.08,4931.8,3.4629
897,0.0015,0.137,0.06,0.5,243.49,280.3,4606.4,3.4962
905,0.0015,0.137,0.065,0.5,243.59,269.42,4257.5,3.5271
913,0.0015,0.137,0.07,0.5,243.68,257.53,3891.9,3.556
921,0.0015,0.137,0.075,0.5,243.77,244.58,3512,3.583
929,0.0015,0.137,0.08,0.5,243.85,230.51,3121.3,3.6086
930,0.0015,0.137,0.08,0.6,237.19,234.14,3214,3.0071
